value	namei	namej
0.157263361674902	L-alpha-amino acids	Hydroxycinnamic acids and derivatives
0.157084749576242	Benzoic acid esters	Sesquiterpenoids
0.157022251937902	Imidazopyrimidines	Fatty acids and conjugates
0.156609965704531	Phenylpropanes	Tetrahydroxy bile acids, alcohols and derivatives
0.155891512583012	Dicarboxylic acids and derivatives	Sphingolipids
0.155621396179565	Hydroxy acids and derivatives	Alpha amino acids
0.155172465603613	Ergosterols and derivatives	Stigmastanes and derivatives
0.154690687013416	Medium-chain fatty acids	1,2-diacylglycerols
0.154557241613893	Phenols	Sesquiterpenoids
0.154444197027837	Imidazopyrimidines	Cinnamic acids and derivatives
0.154123015597183	Benzene and substituted derivatives	Stigmastanes and derivatives
0.153842058123095	Dicarboxylic acids and derivatives	Isoflavonoids
0.153838376142561	Benzopyrans	Coumarins and derivatives
0.153755540263875	Phenylpropanes	Monoterpenoids
0.153474463089423	Long-chain fatty alcohols	Thiazoles
0.153379556819351	Peptidomimetics	Phosphatidylcholines
0.153018045254057	Phenol ethers	Benzoic acids and derivatives
0.152760166802509	Medium-chain fatty acids	Triterpenoids
0.15274556666257	Tricarboxylic acids and derivatives	Sesquiterpenoids
0.152685104370098	Azoles	Amino acids, peptides, and analogues
0.152599038257088	Tricarboxylic acids and derivatives	Fatty acid esters
0.152437198774271	Ergosterols and derivatives	O-glycosyl compounds
0.152267089076869	Ergosterols and derivatives	Alkyl-phenylketones
0.151871598051099	Cholesterols and derivatives	Annonaceous acetogenins
0.151096942862828	Very long-chain fatty acids	Acyclic diterpenoids
0.151009870265332	Bile acids, alcohols and derivatives	Organic sulfuric acids and derivatives
0.1508250390724	Benzopyrans	Phenolic glycosides
0.150384944101999	Beta-diketones	Pyridines and derivatives
0.149573207306444	L-alpha-amino acids	Phenol ethers
0.149527298908419	Hydroxy acids and derivatives	O-glycosyl compounds
0.149202544079247	1-monoacylglycerols	Benzoic acid esters
0.148668537853576	Sulfated steroids	Benzoic acids and derivatives
0.148285131787663	Carboximidic acids and derivatives	Acyclic diterpenoids
0.148210141519104	Benzoic acid esters	Long-chain fatty alcohols
0.148126782756233	Hydroxy acids and derivatives	Acyclic diterpenoids
0.147972132812783	Keto acids and derivatives	Diterpenoids
0.147970363344541	Benzopyrans	Keto acids and derivatives
0.14789164635838	1-monoacylglycerols	Diterpenoids
0.147826018948141	Annonaceous acetogenins	Imidazopyrimidines
0.147735119050139	Flavonoids	Purine nucleosides
0.147713434304064	Hydroxybenzoic acid derivatives	Thiazoles
0.147560437248434	Very long-chain fatty acids	Hydroxybenzoic acid derivatives
0.147118651244997	Azoles	Cinnamic acids and derivatives
0.14703316896547	1-monoacylglycerols	N-acyl-alpha amino acids
0.146895249763075	Fatty alcohols	Acyl carnitines
0.146750337474254	Azoles	O-glycosyl compounds
0.146084682108513	Bile acids, alcohols and derivatives	Hydroxybenzoic acid derivatives
0.145754048400435	Phenolic glycosides	Sesquiterpenoids
0.145631864519394	Beta-diketones	Brassinolides and derivatives
0.145174760858808	Quinolines and derivatives	Dipeptides
0.143406411994036	Dipeptides	Phenolic glycosides
0.142909928873867	Carboximidic acids and derivatives	Organonitrogen compounds
0.142784758960922	Hydroxycinnamic acids and derivatives	Fatty acid esters
0.142665687555087	Monoterpenoids	Organonitrogen compounds
0.14220068705148	Coumarins and derivatives	Monoterpenoids
0.142035435496924	Azolidines	1-monoacylglycerols
0.141798512406202	1,2-diacylglycerols	Triacylglycerols
0.141408658901711	1-alkyl,2-acylglycero-3-phosphocholines	Beta-diketones
0.141263550072929	Benzodioxoles	Benzoic acids and derivatives
0.14115821028635	Dipeptides	Purine nucleosides
0.141104616087548	Carboximidic acids and derivatives	Monoterpenoids
0.140805053984367	Tricarboxylic acids and derivatives	Acyl carnitines
0.140561778620591	Hydroxycinnamic acids and derivatives	Imidazopyrimidines
0.140429263995694	Hydroxy acids and derivatives	Hydroxybenzoic acid derivatives
0.140254924350514	Ergosterols and derivatives	Oligopeptides
0.140014205082374	Azoles	Stigmastanes and derivatives
0.139926267815476	Alkyl-phenylketones	Tetrahydroxy bile acids, alcohols and derivatives
0.139904762657144	Ergosterols and derivatives	Diazines
0.139725874753689	Gluco/mineralocorticoids, progestogins and derivatives	Indoles and derivatives
0.13948106826172	Ergosterols and derivatives	Brassinolides and derivatives
0.139359551089375	Benzopyrans	Dipeptides
0.138994099389781	Azolidines	Keto acids and derivatives
0.1385802465177	Ergosterols and derivatives	Azoles
0.138471243240594	Phenol ethers	Long-chain fatty alcohols
0.138340254396839	Phenylpropanes	Triterpenoids
0.13760865574894	Purine nucleosides	Isoflavonoids
0.137259953846657	Hydroxybenzoic acid derivatives	Diterpenoids
0.136900744172995	Peptidomimetics	Phosphatidylethanolamines
0.136694943421027	Alkyl-phenylketones	Annonaceous acetogenins
0.136676653812303	Azoles	Benzodioxoles
0.136447172756024	Purine nucleosides	Keto acids and derivatives
0.13626690444739	Annonaceous acetogenins	1,2-diacylglycerols
0.136234176372226	Imidazopyrimidines	Keto acids and derivatives
0.136213413591312	Alkyl-phenylketones	Stigmastanes and derivatives
0.136168729224645	1-alkyl,2-acylglycero-3-phosphocholines	Brassinolides and derivatives
0.135859366858747	Annonaceous acetogenins	Thiazoles
0.13568503040058	Hydroxybenzoic acid derivatives	Brassinolides and derivatives
0.135624311733154	Beta-diketones	1,3-diacylglycerols
0.135614598286649	1-monoacylglycerols	Hydroxybenzoic acid derivatives
0.134154211783836	Tricarboxylic acids and derivatives	Stigmastanes and derivatives
0.133962255223445	1,2-diacylglycerols	Long-chain fatty acids
0.133910099535836	Keto acids and derivatives	Amino acids, peptides, and analogues
0.133864369928441	Oligopeptides	Brassinolides and derivatives
0.133307869747	Glutamine and derivatives	Amino acids, peptides, and analogues
0.1332049345577	Brassinolides and derivatives	Amino acids, peptides, and analogues
0.132807003780085	Hydroxycinnamic acids and derivatives	Keto acids and derivatives
0.13257211184746	Benzopyrans	Quinolines and derivatives
0.132291445233862	Very long-chain fatty acids	O-glycosyl compounds
0.13226099733944	Cholesterols and derivatives	Thiazoles
0.13199712442414	Ketones	Fatty acid esters
0.131821590600652	Medium-chain fatty acids	Benzodioxoles
0.131618577923887	Organic sulfuric acids and derivatives	Benzoic acids and derivatives
0.131578429952479	Hydroxy acids and derivatives	Indoles and derivatives
